Province/State,Confirmed,Deaths,Recovered
Anhui,990,6,984
Anhui,990,6,984
Anhui,990,6,984
Anhui,990,6,984
Anhui,990,6,984
Beijing,435,8,326
Beijing,435,8,334
Beijing,436,8,342
Beijing,437,8,349
Beijing,442,8,353
Chongqing,576,6,554
Chongqing,576,6,564
Chongqing,576,6,566
Chongqing,576,6,569
Chongqing,576,6,570
Fujian,296,1,295
Fujian,296,1,295
Fujian,296,1,295
Fujian,296,1,295
Fujian,296,1,295
Gansu,127,2,88
Gansu,127,2,88
Gansu,127,2,88
Gansu,129,2,89
Gansu,133,2,91
Guangdong,1356,8,1282
Guangdong,1356,8,1289
Guangdong,1356,8,1296
Guangdong,1356,8,1299
Guangdong,1360,8,1304
Guangxi,252,2,238
Guangxi,252,2,241
Guangxi,252,2,243
Guangxi,252,2,243
Guangxi,252,2,243
Guizhou,146,2,133
Guizhou,146,2,137
Guizhou,146,2,140
Guizhou,146,2,143
Guizhou,146,2,143
Hainan,168,6,159
Hainan,168,6,160
Hainan,168,6,160
Hainan,168,6,160
Hainan,168,6,160
Hebei,318,6,307
Hebei,318,6,308
Hebei,318,6,310
Hebei,318,6,310
Hebei,318,6,310
Heilongjiang,482,13,436
Heilongjiang,482,13,441
Heilongjiang,482,13,446
Heilongjiang,482,13,447
Heilongjiang,482,13,453
Henan,1273,22,1249
Henan,1273,22,1249
Henan,1273,22,1249
Henan,1273,22,1250
Henan,1273,22,1250
Hubei,67773,3046,49134
Hubei,67781,3056,50318
Hubei,67786,3062,51553
Hubei,67790,3075,52960
Hubei,67794,3085,54288
Hunan,1018,4,995
Hunan,1018,4,999
Hunan,1018,4,1005
Hunan,1018,4,1014
Hunan,1018,4,1014
Inner Mongolia,75,1,71
Inner Mongolia,75,1,71
Inner Mongolia,75,1,71
Inner Mongolia,75,1,71
Inner Mongolia,75,1,71
Jiangsu,631,0,627
Jiangsu,631,0,629
Jiangsu,631,0,630
Jiangsu,631,0,630
Jiangsu,631,0,631
Jiangxi,935,1,932
Jiangxi,935,1,934
Jiangxi,935,1,934
Jiangxi,935,1,934
Jilin,93,1,91
Jilin,93,1,91
Jilin,93,1,91
Jilin,93,1,91
Jilin,93,1,91
Liaoning,125,1,111
Liaoning,125,1,112
Liaoning,125,1,112
Liaoning,125,1,113
Liaoning,125,1,114
Ningxia,75,0,72
Ningxia,75,0,72
Ningxia,75,0,72
Ningxia,75,0,73
Ningxia,75,0,73
Qinghai,18,0,18
Qinghai,18,0,18
Qinghai,18,0,18
Qinghai,18,0,18
Qinghai,18,0,18
Shaanxi,245,1,232
Shaanxi,245,2,232
Shaanxi,245,2,232
Shaanxi,245,2,232
Shaanxi,245,2,232
Shandong,760,6,726
Shandong,760,6,734
Shandong,760,7,739
Shandong,760,7,741
Shandong,760,7,741
Shanghai,344,3,320
Shanghai,344,3,321
Shanghai,346,3,324
Shanghai,353,3,324
Shanghai,353,3,324
Shanxi,133,0,131
Shanxi,133,0,132
Shanxi,133,0,133
Shanxi,133,0,133
Shanxi,133,0,133
Sichuan,539,3,488
Sichuan,539,3,498
Sichuan,539,3,503
Sichuan,539,3,511
Sichuan,539,3,516
Tianjin,136,3,131
Tianjin,136,3,132
Tianjin,136,3,132
Tianjin,136,3,132
Tianjin,136,3,133
Tibet,1,0,1
Tibet,1,0,1
Tibet,1,0,1
Tibet,1,0,1
Tibet,1,0,1
Xinjiang,76,3,73
Xinjiang,76,3,73
Xinjiang,76,3,73
Xinjiang,76,3,73
Xinjiang,76,3,73
Yunnan,174,2,170
Yunnan,174,2,170
Yunnan,174,2,170
Yunnan,174,2,172
Yunnan,174,2,172
Zhejiang,1215,1,1195
Zhejiang,1215,1,1197
Zhejiang,1215,1,1197
Zhejiang,1227,1,1211
Zhejiang,1231,1,1211
