Confirmed,Deaths,Recovered
990,6,984
990,6,984
990,6,984
990,6,984
990,6,984
435,8,326
435,8,334
436,8,342
437,8,349
442,8,353
576,6,554
576,6,564
576,6,566
576,6,569
576,6,570
296,1,295
296,1,295
296,1,295
296,1,295
296,1,295
127,2,88
127,2,88
127,2,88
129,2,89
133,2,91
1356,8,1282
1356,8,1289
1356,8,1296
1356,8,1299
1360,8,1304
252,2,238
252,2,241
252,2,243
252,2,243
252,2,243
146,2,133
146,2,137
146,2,140
146,2,143
146,2,143
168,6,159
168,6,160
168,6,160
168,6,160
168,6,160
318,6,307
318,6,308
318,6,310
318,6,310
318,6,310
482,13,436
482,13,441
482,13,446
482,13,447
482,13,453
1273,22,1249
1273,22,1249
1273,22,1249
1273,22,1250
1273,22,1250
67773,3046,49134
67781,3056,50318
67786,3062,51553
67790,3075,52960
67794,3085,54288
1018,4,995
1018,4,999
1018,4,1005
1018,4,1014
1018,4,1014
75,1,71
75,1,71
75,1,71
75,1,71
75,1,71
631,0,627
631,0,629
631,0,630
631,0,630
631,0,631
935,1,932
935,1,934
935,1,934
935,1,934
93,1,91
93,1,91
93,1,91
93,1,91
93,1,91
125,1,111
125,1,112
125,1,112
125,1,113
125,1,114
75,0,72
75,0,72
75,0,72
75,0,73
75,0,73
18,0,18
18,0,18
18,0,18
18,0,18
18,0,18
245,1,232
245,2,232
245,2,232
245,2,232
245,2,232
760,6,726
760,6,734
760,7,739
760,7,741
760,7,741
344,3,320
344,3,321
346,3,324
353,3,324
353,3,324
133,0,131
133,0,132
133,0,133
133,0,133
133,0,133
539,3,488
539,3,498
539,3,503
539,3,511
539,3,516
136,3,131
136,3,132
136,3,132
136,3,132
136,3,133
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
76,3,73
76,3,73
76,3,73
76,3,73
76,3,73
174,2,170
174,2,170
174,2,170
174,2,172
174,2,172
1215,1,1195
1215,1,1197
1215,1,1197
1227,1,1211
1231,1,1211
