Province/State,Country/Region,Confirmed,Deaths,Recovered,Latitude,Longitude,Observation Date
Anhui,Mainland China,990,6,984,32,117,11/3/2020
Anhui,Mainland China,990,6,984,32,117,12/3/2020
Anhui,Mainland China,990,6,984,32,117,13-03-2020
Anhui,Mainland China,990,6,984,32,117,14-03-2020
Anhui,Mainland China,990,6,984,32,117,15-03-2020
Beijing,Mainland China,435,8,326,39.906217,116.3912757,11/3/2020
Beijing,Mainland China,435,8,334,39.906217,116.3912757,12/3/2020
Beijing,Mainland China,436,8,342,39.906217,116.3912757,13-03-2020
Beijing,Mainland China,437,8,349,39.906217,116.3912757,14-03-2020
Beijing,Mainland China,442,8,353,39.906217,116.3912757,15-03-2020
Chongqing,Mainland China,576,6,554,29.5585712,106.5492822,11/3/2020
Chongqing,Mainland China,576,6,564,29.5585712,106.5492822,12/3/2020
Chongqing,Mainland China,576,6,566,29.5585712,106.5492822,13-03-2020
Chongqing,Mainland China,576,6,569,29.5585712,106.5492822,14-03-2020
Chongqing,Mainland China,576,6,570,29.5585712,106.5492822,15-03-2020
Fujian,Mainland China,296,1,295,26.5450001,117.842778,11/3/2020
Fujian,Mainland China,296,1,295,26.5450001,117.842778,12/3/2020
Fujian,Mainland China,296,1,295,26.5450001,117.842778,13-03-2020
Fujian,Mainland China,296,1,295,26.5450001,117.842778,14-03-2020
Fujian,Mainland China,296,1,295,26.5450001,117.842778,15-03-2020
Gansu,Mainland China,127,2,88,38.0000001,101.9999999,11/3/2020
Gansu,Mainland China,127,2,88,38.0000001,101.9999999,12/3/2020
Gansu,Mainland China,127,2,88,38.0000001,101.9999999,13-03-2020
Gansu,Mainland China,129,2,89,38.0000001,101.9999999,14-03-2020
Gansu,Mainland China,133,2,91,38.0000001,101.9999999,15-03-2020
Guangdong,Mainland China,1356,8,1282,23.1357694,113.1982688,11/3/2020
Guangdong,Mainland China,1356,8,1289,23.1357694,113.1982688,12/3/2020
Guangdong,Mainland China,1356,8,1296,23.1357694,113.1982688,13-03-2020
Guangdong,Mainland China,1356,8,1299,23.1357694,113.1982688,14-03-2020
Guangdong,Mainland China,1360,8,1304,23.1357694,113.1982688,15-03-2020
Guangxi,Mainland China,252,2,238,24,109,11/3/2020
Guangxi,Mainland China,252,2,241,24,109,12/3/2020
Guangxi,Mainland China,252,2,243,24,109,13-03-2020
Guangxi,Mainland China,252,2,243,24,109,14-03-2020
Guangxi,Mainland China,252,2,243,24,109,15-03-2020
Guizhou,Mainland China,146,2,133,27,107,11/3/2020
Guizhou,Mainland China,146,2,137,27,107,12/3/2020
Guizhou,Mainland China,146,2,140,27,107,13-03-2020
Guizhou,Mainland China,146,2,143,27,107,14-03-2020
Guizhou,Mainland China,146,2,143,27,107,15-03-2020
Hainan,Mainland China,168,6,159,19.2000001,109.5999999,11/3/2020
Hainan,Mainland China,168,6,160,19.2000001,109.5999999,12/3/2020
Hainan,Mainland China,168,6,160,19.2000001,109.5999999,13-03-2020
Hainan,Mainland China,168,6,160,19.2000001,109.5999999,14-03-2020
Hainan,Mainland China,168,6,160,19.2000001,109.5999999,15-03-2020
Hebei,Mainland China,318,6,307,39.0000001,116,11/3/2020
Hebei,Mainland China,318,6,308,39.0000001,116,12/3/2020
Hebei,Mainland China,318,6,310,39.0000001,116,13-03-2020
Hebei,Mainland China,318,6,310,39.0000001,116,14-03-2020
Hebei,Mainland China,318,6,310,39.0000001,116,15-03-2020
